Nome,URL,Estrelas,Criado em,Última atualização,Tamanho (KB),Forks,Issues abertas,Watchers
alibaba/fastjson,https://github.com/alibaba/fastjson.git,25774,2011-11-03T06:58:52Z,2025-03-23T14:52:41Z,15513,6490,2116,25774
apache/incubator-seata,https://github.com/apache/incubator-seata.git,25553,2018-12-28T08:37:22Z,2025-03-23T06:09:15Z,25946,8805,819,25553
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife.git,25528,2013-03-05T08:18:59Z,2025-03-22T23:20:36Z,3909,4597,120,25528
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer.git,25420,2018-10-25T09:54:54Z,2025-03-23T00:56:09Z,8004,5452,61,25420
apache/flink,https://github.com/apache/flink.git,24652,2014-06-07T07:00:10Z,2025-03-23T11:00:47Z,521346,13466,1233,24652
apache/skywalking,https://github.com/apache/skywalking.git,24164,2015-11-07T03:30:36Z,2025-03-23T14:55:45Z,172856,6564,66,24164
libgdx/libgdx,https://github.com/libgdx/libgdx.git,23843,2012-08-10T19:34:38Z,2025-03-23T21:12:33Z,1105435,6476,318,23843
bazelbuild/bazel,https://github.com/bazelbuild/bazel.git,23809,2014-06-12T16:00:38Z,2025-03-23T23:07:50Z,965521,4157,1986,23809
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins.git,23772,2010-11-22T21:21:23Z,2025-03-23T20:23:31Z,163874,9006,89,23772
google/gson,https://github.com/google/gson.git,23630,2015-03-19T18:21:20Z,2025-03-23T20:22:24Z,13606,4312,338,23630
Anuken/Mindustry,https://github.com/Anuken/Mindustry.git,23496,2017-04-30T01:24:29Z,2025-03-23T17:48:35Z,1852996,3046,51,23496
alibaba/Sentinel,https://github.com/alibaba/Sentinel.git,22633,2018-04-04T06:37:33Z,2025-03-23T15:17:15Z,8335,8070,893,22633
doocs/source-code-hunter,https://github.com/doocs/source-code-hunter.git,22565,2019-10-28T01:35:10Z,2025-03-23T14:37:03Z,70615,4172,11,22565
google/ExoPlayer,https://github.com/google/ExoPlayer.git,21806,2014-06-13T21:19:18Z,2025-03-23T22:18:28Z,484242,6036,650,21806
ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources.git,21735,2023-10-25T01:50:42Z,2025-03-24T00:47:19Z,2252,5201,2,21735
apache/rocketmq,https://github.com/apache/rocketmq.git,21638,2016-11-30T08:00:08Z,2025-03-23T17:27:05Z,43321,11811,402,21638
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool.git,21573,2012-03-19T17:46:53Z,2025-03-23T23:28:20Z,313905,3682,78,21573
CodePhiliaX/Chat2DB,https://github.com/CodePhiliaX/Chat2DB.git,21514,2023-06-20T14:05:26Z,2025-03-24T00:44:49Z,18690,2363,475,21514
openjdk/jdk,https://github.com/openjdk/jdk.git,20661,2018-09-17T12:29:20Z,2025-03-24T00:42:09Z,1312880,5760,386,20661
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer.git,20607,2016-11-13T12:34:31Z,2025-03-23T12:26:48Z,337852,4242,15,20607
didi/DoKit,https://github.com/didi/DoKit.git,20290,2018-08-14T10:32:07Z,2025-03-22T09:20:04Z,58615,3145,268,20290
apache/shardingsphere,https://github.com/apache/shardingsphere.git,20127,2016-01-18T12:49:26Z,2025-03-23T15:47:42Z,660068,6785,514,20127
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3.git,20011,2013-02-14T19:03:32Z,2025-03-23T06:22:42Z,158361,12923,193,20011
dataease/dataease,https://github.com/dataease/dataease.git,19678,2021-02-02T04:10:21Z,2025-03-24T00:27:18Z,300343,3508,331,19678
linlinjava/litemall,https://github.com/linlinjava/litemall.git,19556,2018-03-22T16:42:30Z,2025-03-23T12:04:46Z,24591,7260,35,19556
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs.git,19476,2018-09-12T14:51:46Z,2025-03-23T12:54:16Z,1813,6079,45,19476
